nodeID,name,longitude,latitude,nodeCode
1,A Coruña,-8.479824934845688,43.08935292760223,ES111
2,Lugo,-7.444210653328757,43.02313279405713,ES112
3,Ourense,-7.603117519517512,42.18382244183877,ES113
4,Pontevedra,-8.456699846371773,42.40859730765657,ES114
5,Asturias,-5.989683495975561,43.30368675029925,ES120
6,Cantabria,-4.06354222583508,43.16239699856305,ES130
7,Araba/Álava,-2.685392576373967,42.869553786122275,ES211
8,Gipuzkoa,-2.1896868190140957,43.17249488382071,ES212
9,Bizkaia,-2.8654021088944543,43.254171707367355,ES213
10,Navarra,-1.6227097930275256,42.70687687359758,ES220
11,La Rioja,-2.4722952281335555,42.2394458570006,ES230
12,Huesca,-0.08691867156434702,42.23254501461118,ES241
13,Teruel,-0.8561224420242693,40.64463356497781,ES242
14,Zaragoza,-1.0524247256529433,41.63019234565563,ES243
15,Madrid,-3.724116341921944,40.493445659360766,ES300
16,Ávila,-4.951504466563971,40.587659497058816,ES411
17,Burgos,-3.536267636034173,42.35941009115337,ES412
18,León,-5.840375076606973,42.62092771048962,ES413
19,Palencia,-4.519104748518193,42.36569102448462,ES414
20,Salamanca,-6.092318827351925,40.81908610023664,ES415
21,Segovia,-4.016313043849281,41.19108626921662,ES416
22,Soria,-2.6108554854209833,41.60735360327953,ES417
23,Valladolid,-4.833915869662801,41.635527051387044,ES418
24,Zamora,-5.990870554124767,41.729648947449775,ES419
25,Albacete,-1.9901434692072606,38.81417468444899,ES421
26,Ciudad Real,-3.8444820578070047,38.930125916875475,ES422
27,Cuenca,-2.2181860155281483,39.90118105699341,ES423
28,Guadalajara,-2.6273615278853995,40.82192342077605,ES424
29,Toledo,-4.1582817195291675,39.78297054716562,ES425
30,Badajoz,-6.150637501834892,38.71147021303216,ES431
31,Cáceres,-6.186791624441905,39.73114289786648,ES432
32,Barcelona,1.9806854648751582,41.71188355348585,ES511
33,Girona,2.5670380708729468,42.174723307027485,ES512
34,Lleida,1.0313322659472888,42.04243070392678,ES513
35,Tarragona,0.8053926644179327,41.08195916673828,ES514
36,Alicante / Alacant,-0.590302335526287,38.49441219140595,ES521
37,Castellón / Castelló,-0.1347737352607114,40.24666561057211,ES522
38,Valencia / València,-0.7803499208861354,39.379956316849494,ES523
39,Eivissa y Formentera,1.341454121361515,38.95115150357787,ES531
40,Mallorca,2.964611873604007,39.60100460627511,ES532
41,Menorca,4.156802643553799,39.94797934846301,ES533
42,Almería,-2.3022216207898873,37.21686498614397,ES611
43,Cádiz,-5.764182503730514,36.560532797447024,ES612
44,Córdoba,-4.79757959668987,37.96028482602597,ES613
45,Granada,-3.239550720007662,37.3061009793721,ES614
46,Huelva,-6.855183646249912,37.55874079871813,ES615
47,Jaén,-3.440481342309526,38.02079316342536,ES616
48,Málaga,-4.708159439815788,36.8215146751284,ES617
49,Sevilla,-5.7254628040668445,37.43552793768433,ES618
50,Murcia,-1.4805591946885204,38.00356946861293,ES620
51,Ceuta,-5.336814931235304,35.895157706259184,ES630
52,Melilla,-2.950311039324584,35.297688772406204,ES640
53,El Hierro,-18.004554109649423,27.741001479750707,ES703
54,Fuerteventura,-13.986313484333396,28.44898996547142,ES704
55,Gran Canaria,-15.5873794248122,27.96775677972828,ES705
56,La Gomera,-17.23609767999905,28.108898081627817,ES706
57,La Palma,-17.85940562499847,28.692053696238155,ES707
58,Lanzarote,-13.657000270722833,29.008179755077947,ES708
59,Tenerife,-16.568415119113688,28.287691603635654,ES709
