nodeID,name,longitude,latitude,nodeCode
1,Paris,2.3472184656861006,48.85595096561493,FR101
2,Seine-et-Marne,2.974874788562956,48.64498938356408,FR102
3,Yvelines,1.8785720052689974,48.8072700828927,FR103
4,Essonne,2.2446594681532663,48.515773207975016,FR104
5,Hauts-de-Seine,2.2683360325410513,48.847891381846154,FR105
6,Seine-Saint-Denis,2.4638952195673647,48.91207353961917,FR106
7,Val-de-Marne,2.462273117383069,48.774446391976745,FR107
8,Val-d'Oise,2.0752542695094363,49.07139391083606,FR108
9,Cher,2.482013479857392,47.050971848093724,FRB01
10,Eure-et-Loir,1.3670742308855817,48.42086606257104,FRB02
11,Indre,1.565509759681847,46.759265298593135,FRB03
12,Indre-et-Loire,0.6753754446534278,47.258946795599485,FRB04
13,Loir-et-Cher,1.4178595312846844,47.61982113213069,FRB05
14,Loiret,2.360825412786592,47.928676047003194,FRB06
15,Côte-d’Or,4.769580883983062,47.45612473759966,FRC11
16,Nièvre,3.485154183549274,47.133209643916715,FRC12
17,Saône-et-Loire,4.531385129961729,46.663836349672984,FRC13
18,Yonne,3.573639335565749,47.82376445250688,FRC14
19,Doubs,6.362449490846994,47.16691462842009,FRC21
20,Jura,5.677513387598283,46.757026846697784,FRC22
21,Haute-Saône,6.06147546498604,47.62197794751978,FRC23
22,Territoire de Belfort,6.931893770699982,47.599185753377206,FRC24
23,Calvados,-0.3312247868966548,49.11069234233901,FRD11
24,Manche,-1.303744282170039,49.016323440033,FRD12
25,Orne,0.14152159144131368,48.619849774093154,FRD13
26,Eure,0.9701026472356551,49.10554236861831,FRD21
27,Seine-Maritime,1.0873137374032793,49.65882708128582,FRD22
28,Nord,3.2624234938150005,50.41991795757552,FRE11
29,Pas-de-Calais,2.285625750770741,50.51701228262628,FRE12
30,Aisne,3.563953021554762,49.55401288357391,FRE21
31,Oise,2.420827705501006,49.40546264161579,FRE22
32,Somme,2.2914880225474645,49.96052961878051,FRE23
33,Bas-Rhin,7.569820711305167,48.668337158187605,FRF11
34,Haut-Rhin,7.270902958600978,47.85017943001041,FRF12
35,Ardennes,4.666460856442481,49.6326876320009,FRF21
36,Aube,4.147916917876564,48.289539393569065,FRF22
37,Marne,4.256984189090308,48.946788815053345,FRF23
38,Haute-Marne,5.2274877411000675,48.1373233069606,FRF24
39,Meurthe-et-Moselle,6.139973565985455,48.829904531047056,FRF31
40,Meuse,5.38520388499654,48.97048980698233,FRF32
41,Moselle,6.647185919956638,49.04568267722071,FRF33
42,Vosges,6.392960168065367,48.19164836877796,FRF34
43,Loire-Atlantique,-1.6674316526742803,47.382592291424096,FRG01
44,Maine-et-Loire,-0.5502393713948058,47.392656676112274,FRG02
45,Mayenne,-0.6747259813098455,48.14795930030426,FRG03
46,Sarthe,0.2406582355118298,48.00561589847465,FRG04
47,Vendée,-1.3037816908642432,46.70112441146894,FRG05
48,Côtes-d’Armor,-2.9108277823428708,48.42187694165971,FRH01
49,Finistère,-4.017145811949972,48.26024787398148,FRH02
50,Ille-et-Vilaine,-1.6616517128861017,48.14620692801717,FRH03
51,Morbihan,-2.8030862137533363,47.847319939199146,FRH04
52,Dordogne,0.7153354249454702,45.124436245452934,FRI11
53,Gironde,-0.5716654824102748,44.794298232726774,FRI12
54,Landes,-0.7958124232707006,43.95400011384229,FRI13
55,Lot-et-Garonne,0.4757783768715249,44.3624186262579,FRI14
56,Pyrénées-Atlantiques,-0.7869141316114449,43.2880989384369,FRI15
57,Corrèze,1.8741089836416691,45.363999988032674,FRI21
58,Creuse,2.062696766757022,46.07866416330147,FRI22
59,Haute-Vienne,1.2642450940519754,45.89301832150522,FRI23
60,Charente,0.22861059884182325,45.7462429113966,FRI31
61,Charente-Maritime,-0.6261082092930944,45.772274220252946,FRI32
62,Deux-Sèvres,-0.30886466127693063,46.53987447759184,FRI33
63,Vienne,0.4765559801012401,46.56405147334795,FRI34
64,Aude,2.457378443559793,43.088273972492416,FRJ11
65,Gard,4.126171657957302,44.00569525884749,FRJ12
66,Hérault,3.3635636126478907,43.56984420265788,FRJ13
67,Lozère,3.509742013267005,44.54595406508134,FRJ14
68,Pyrénées-Orientales,2.5698548394188414,42.59641680601401,FRJ15
69,Ariège,1.5226087900555365,42.90438159792836,FRJ21
70,Aveyron,2.703049903668375,44.28117880421192,FRJ22
71,Haute-Garonne,1.194515009302156,43.369026205177306,FRJ23
72,Gers,0.44795085110794525,43.69817075118277,FRJ24
73,Lot,1.6284251170596065,44.63568587137804,FRJ25
74,Hautes-Pyrénées,0.16417938616822855,43.106269011078446,FRJ26
75,Tarn,2.2338942695316373,43.7715732328664,FRJ27
76,Tarn-et-Garonne,1.3159680663306523,44.09461492530787,FRJ28
77,Allier,3.1984812332191797,46.378710551951514,FRK11
78,Cantal,2.694526804505582,45.05798955553705,FRK12
79,Haute-Loire,3.7807671360730835,45.117919654782476,FRK13
80,Puy-de-Dôme,3.138577776389973,45.70072957446355,FRK14
81,Ain,5.382044329770934,46.10386695061861,FRK21
82,Ardèche,4.3967022663606,44.77332512050102,FRK22
83,Drôme,5.171577204018534,44.7066433661933,FRK23
84,Isère,5.546746045001031,45.28907912577848,FRK24
85,Loire,4.160501752222184,45.72092774667018,FRK25
86,Rhône,4.6396000291251704,45.87930049322849,FRK26
87,Savoie,6.415325708978125,45.498664006633916,FRK27
88,Haute-Savoie,6.481172101830358,46.0770918722367,FRK28
89,Alpes-de-Haute-Provence,6.272963814767025,44.11563734862511,FRL01
90,Hautes-Alpes,6.271093276661922,44.65861760572279,FRL02
