nodeID,name,longitude,latitude,nodeCode
1,Hlavní město Praha,14.458919502587579,50.05943851924682,CZ010
2,Středočeský kraj,14.546292777936731,49.99487599434351,CZ020
3,Jihočeský kraj,14.429152687513673,49.104539464174806,CZ031
4,Plzeňský kraj,13.207009710608737,49.60460444995307,CZ032
5,Karlovarský kraj,12.672764340694354,50.181037304098915,CZ041
6,Ústecký kraj,13.829230725205006,50.533691313662516,CZ042
7,Liberecký kraj,14.995336877932084,50.691923865476156,CZ051
8,Královéhradecký kraj,15.877394905694725,50.38999428499972,CZ052
9,Pardubický kraj,16.243197436542406,49.903199792491456,CZ053
10,Kraj Vysočina,15.664244627306626,49.410513955649805,CZ063
11,Jihomoravský kraj,16.659557238105094,49.056598408620985,CZ064
12,Olomoucký kraj,17.21089425773913,49.79004390769627,CZ071
13,Zlínský kraj,17.742431648460414,49.22861342559808,CZ072
14,Moravskoslezský kraj,18.03134850198867,49.809980514945785,CZ080
