nodeID,name,longitude,latitude,nodeCode
1,Vaud,6.647125314734407,46.56332735283309,CH011
2,Valais,7.666297660511166,46.23058281458192,CH012
3,Genève,6.119014225699408,46.23449225814909,CH013
4,Bern,7.597282418529057,46.8515365875013,CH021
5,Freiburg,7.056410527773285,46.72561001995439,CH022
6,Solothurn,7.646892025947331,47.37306128829919,CH023
7,Neuchâtel,6.7737538955060685,46.97681395445298,CH024
8,Jura,7.14323599179197,47.34061751285079,CH025
9,Basel-Stadt,7.593374185289099,47.56194122148967,CH031
10,Basel-Landschaft,7.714185528454098,47.47626469663697,CH032
11,Aargau,8.140757265727995,47.40769270323807,CH033
12,Zürich,8.643532532715037,47.40899693063827,CH040
13,Glarus,9.050314232842222,46.96735457399394,CH051
14,Schaffhausen,8.574910551180878,47.7178523760482,CH052
15,Appenzell Ausserrhoden,9.318441133698835,47.34244662388504,CH053
16,Appenzell Innerrhoden,9.39225587435448,47.3200434428841,CH054
17,St. Gallen,9.244586584470113,47.24459725822692,CH055
18,Graubünden,9.600038022987379,46.670340508040724,CH056
19,Thurgau,9.050138234928744,47.55344891412248,CH057
20,Luzern,8.149503547062302,47.07912910835787,CH061
21,Uri,8.64006657929597,46.773311847778004,CH062
22,Schwyz,8.765383028955616,47.069378021970394,CH063
23,Obwalden,8.27608191425619,46.84745311083172,CH064
24,Nidwalden,8.42323817632267,46.94339801055012,CH065
25,Zug,8.513447460142823,47.1691950079077,CH066
26,Ticino,8.815176800028642,46.28164887135632,CH070
