nodeID,name,longitude,latitude,nodeCode
1,Byen København,12.616977654462604,55.64467036989243,DK011
2,Københavns omegn,12.43701135065309,55.69731285293005,DK012
3,Nordsjælland,12.25965599978236,55.89529313095714,DK013
4,Bornholm,14.923293151962142,55.12251601805916,DK014
5,Østsjælland,12.107592496484594,55.59452988830627,DK021
6,Vest- og Sydsjælland,11.72246297281384,55.274520590099144,DK022
7,Fyn,10.387244285879822,55.23637258976931,DK031
8,Sydjylland,9.045134741418659,55.388512351272105,DK032
9,Vestjylland,8.854294772891047,56.2706737285624,DK041
10,Østjylland,10.02894668261597,56.217150727520746,DK042
11,Nordjylland,9.63311796454457,57.03971660862919,DK050
