nodeID_from,nodeID_to,country_ISO3,country_name,weight
1,1,NOR,Norway,1042239
1,2,NOR,Norway,459845
1,3,NOR,Norway,241663
1,4,NOR,Norway,244468
1,5,NOR,Norway,221704
1,6,NOR,Norway,245755
1,7,NOR,Norway,227519
1,8,NOR,Norway,184738
1,9,NOR,Norway,179464
1,10,NOR,Norway,196779
1,11,NOR,Norway,128767
1,12,NOR,Norway,176318
1,13,NOR,Norway,136576
1,14,NOR,Norway,154378
1,15,NOR,Norway,197035
1,16,NOR,Norway,137414
1,17,NOR,Norway,181299
1,18,NOR,Norway,143034
2,1,NOR,Norway,459845
2,2,NOR,Norway,1183345
2,3,NOR,Norway,268906
2,4,NOR,Norway,231579
2,5,NOR,Norway,228474
2,6,NOR,Norway,237495
2,7,NOR,Norway,155142
2,8,NOR,Norway,117823
2,9,NOR,Norway,107237
2,10,NOR,Norway,94745
2,11,NOR,Norway,66639
2,12,NOR,Norway,90573
2,13,NOR,Norway,90144
2,14,NOR,Norway,96167
2,15,NOR,Norway,122047
2,16,NOR,Norway,105336
2,17,NOR,Norway,123138
2,18,NOR,Norway,118043
3,1,NOR,Norway,241663
3,2,NOR,Norway,268906
3,3,NOR,Norway,6183974
3,4,NOR,Norway,652948
3,5,NOR,Norway,137644
3,6,NOR,Norway,144340
3,7,NOR,Norway,118466
3,8,NOR,Norway,101693
3,9,NOR,Norway,87694
3,10,NOR,Norway,86333
3,11,NOR,Norway,59594
3,12,NOR,Norway,73947
3,13,NOR,Norway,89181
3,14,NOR,Norway,94738
3,15,NOR,Norway,177206
3,16,NOR,Norway,92939
3,17,NOR,Norway,115269
3,18,NOR,Norway,123384
4,1,NOR,Norway,244468
4,2,NOR,Norway,231579
4,3,NOR,Norway,652948
4,4,NOR,Norway,6567727
4,5,NOR,Norway,128470
4,6,NOR,Norway,268495
4,7,NOR,Norway,126527
4,8,NOR,Norway,106128
4,9,NOR,Norway,89185
4,10,NOR,Norway,87166
4,11,NOR,Norway,59365
4,12,NOR,Norway,81855
4,13,NOR,Norway,159839
4,14,NOR,Norway,121317
4,15,NOR,Norway,162238
4,16,NOR,Norway,88928
4,17,NOR,Norway,104695
4,18,NOR,Norway,101321
5,1,NOR,Norway,221704
5,2,NOR,Norway,228474
5,3,NOR,Norway,137644
5,4,NOR,Norway,128470
5,5,NOR,Norway,3296335
5,6,NOR,Norway,122692
5,7,NOR,Norway,133539
5,8,NOR,Norway,101103
5,9,NOR,Norway,87388
5,10,NOR,Norway,84096
5,11,NOR,Norway,53562
5,12,NOR,Norway,67487
5,13,NOR,Norway,66073
5,14,NOR,Norway,68197
5,15,NOR,Norway,84823
5,16,NOR,Norway,87424
5,17,NOR,Norway,102381
5,18,NOR,Norway,113124
6,1,NOR,Norway,245755
6,2,NOR,Norway,237495
6,3,NOR,Norway,144340
6,4,NOR,Norway,268495
6,5,NOR,Norway,122692
6,6,NOR,Norway,3143121
6,7,NOR,Norway,348414
6,8,NOR,Norway,219231
6,9,NOR,Norway,107591
6,10,NOR,Norway,101369
6,11,NOR,Norway,62887
6,12,NOR,Norway,90684
6,13,NOR,Norway,107462
6,14,NOR,Norway,78418
6,15,NOR,Norway,97975
6,16,NOR,Norway,90082
6,17,NOR,Norway,102882
6,18,NOR,Norway,105356
7,1,NOR,Norway,227519
7,2,NOR,Norway,155142
7,3,NOR,Norway,118466
7,4,NOR,Norway,126527
7,5,NOR,Norway,133539
7,6,NOR,Norway,348414
7,7,NOR,Norway,3501265
7,8,NOR,Norway,334646
7,9,NOR,Norway,144441
7,10,NOR,Norway,119802
7,11,NOR,Norway,72009
7,12,NOR,Norway,92510
7,13,NOR,Norway,80150
7,14,NOR,Norway,76377
7,15,NOR,Norway,96268
7,16,NOR,Norway,97634
7,17,NOR,Norway,117125
7,18,NOR,Norway,128064
8,1,NOR,Norway,184738
8,2,NOR,Norway,117823
8,3,NOR,Norway,101693
8,4,NOR,Norway,106128
8,5,NOR,Norway,101103
8,6,NOR,Norway,219231
8,7,NOR,Norway,334646
8,8,NOR,Norway,6575901
8,9,NOR,Norway,316082
8,10,NOR,Norway,203029
8,11,NOR,Norway,84980
8,12,NOR,Norway,90776
8,13,NOR,Norway,80784
8,14,NOR,Norway,65986
8,15,NOR,Norway,83162
8,16,NOR,Norway,79941
8,17,NOR,Norway,86785
8,18,NOR,Norway,100923
9,1,NOR,Norway,179464
9,2,NOR,Norway,107237
9,3,NOR,Norway,87694
9,4,NOR,Norway,89185
9,5,NOR,Norway,87388
9,6,NOR,Norway,107591
9,7,NOR,Norway,144441
9,8,NOR,Norway,316082
9,9,NOR,Norway,9311519
9,10,NOR,Norway,1005606
9,11,NOR,Norway,143242
9,12,NOR,Norway,108991
9,13,NOR,Norway,83373
9,14,NOR,Norway,73368
9,15,NOR,Norway,78342
9,16,NOR,Norway,77616
9,17,NOR,Norway,103284
9,18,NOR,Norway,110695
10,1,NOR,Norway,196779
10,2,NOR,Norway,94745
10,3,NOR,Norway,86333
10,4,NOR,Norway,87166
10,5,NOR,Norway,84096
10,6,NOR,Norway,101369
10,7,NOR,Norway,119802
10,8,NOR,Norway,203029
10,9,NOR,Norway,1005606
10,10,NOR,Norway,6114134
10,11,NOR,Norway,257440
10,12,NOR,Norway,132454
10,13,NOR,Norway,89961
10,14,NOR,Norway,78857
10,15,NOR,Norway,91527
10,16,NOR,Norway,81463
10,17,NOR,Norway,109031
