nodeID,name,longitude,latitude,nodeCode
1,Voreios Tomeas Athinon,23.78612327467341,38.05351941962483,EL301
2,Dytikos Tomeas Athinon,23.669220284129693,38.00940637969605,EL302
3,Kentrikos Tomeas Athinon,23.758781511786918,37.98154731065221,EL303
4,Notios Tomeas Athinon,23.73456255120628,37.91871332088194,EL304
5,Anatoliki Attiki,23.86484373634727,38.05140966250514,EL305
6,Dytiki Attiki,23.399449004214134,38.09478668514346,EL306
7,"Peiraias, Nisoi",23.102985215215778,36.68435671120452,EL307
8,"Lesvos, Limnos",25.850701755451183,39.42942691322141,EL411
9,"Ikaria, Samos",26.652704517140908,37.630632546189126,EL412
10,Chios,26.031653355349782,38.40869832831178,EL413
11,"Kalymnos, Karpathos, Kos, Rodos",27.888332983495346,36.15315188573361,EL421
12,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros,  Syros, Tinos",25.256049409990634,37.081831640687405,EL422
13,Irakleio,25.14208933642896,35.157513171206716,EL431
14,Lasithi,25.804057644989484,35.13079482542101,EL432
15,Rethymni,24.590637310484404,35.26133988630075,EL433
16,Chania,23.955807600312855,35.36128174812364,EL434
17,Evros,26.04274464854474,41.078718656838774,EL511
18,Xanthi,24.885770953488414,41.13836609605774,EL512
19,Rodopi,25.502327871443434,41.110355789123474,EL513
20,Drama,24.20554672501018,41.32002527732337,EL514
21,"Thasos, Kavala",24.417709466434527,40.94397858795007,EL515
22,Imathia,22.27951532045664,40.558238072940654,EL521
23,Thessaloniki,23.098085995806578,40.69163095395638,EL522
24,Kilkis,22.780768399238248,41.080091393357634,EL523
25,Pella,22.17253963888366,40.89713954959967,EL524
26,Pieria,22.425980382021525,40.26190019812995,EL525
27,Serres,23.54118155938781,41.10027879513363,EL526
28,Chalkidiki,23.569092379859406,40.30943480043827,EL527
29,"Grevena, Kozani",21.63188641939267,40.208728288850565,EL531
30,Kastoria,21.12896691956882,40.44027427440453,EL532
31,Florina,21.438661079683243,40.756720608769456,EL533
32,"Arta, Preveza",20.973756790399527,39.23102361064468,EL541
33,Thesprotia,20.36211078643635,39.55168395545763,EL542
34,Ioannina,20.818853930080444,39.784457879004776,EL543
35,"Karditsa, Trikala",21.692304772938712,39.4897498898549,EL611
36,Larisa,22.40490519175775,39.67787559660168,EL612
37,"Magnisia, Sporades",23.157880716567284,39.21005807630488,EL613
38,Zakynthos,20.88791602431649,37.51770744259797,EL621
39,Kerkyra,19.76232441711215,39.71008201119947,EL622
40,"Ithaki, Kefallinia",20.58654613498409,38.26829946460188,EL623
41,Lefkada,20.660465738457997,38.71020631621178,EL624
42,Aitoloakarnania,21.382366171786263,38.70831534829628,EL631
43,Achaia,21.940320727652217,38.049936491761954,EL632
44,Ileia,21.615052009968846,37.74324916532641,EL633
45,Voiotia,23.12495571089979,38.369481947410115,EL641
46,Evvoia,23.936491248482184,38.363023464655996,EL642
47,Evrytania,21.712668982442786,38.9910111442577,EL643
48,Fthiotida,22.498885461511037,38.86784837847807,EL644
49,Fokida,22.229553097212538,38.5448249442358,EL645
50,"Argolida, Arkadia",22.54136190034747,37.5326753847186,EL651
51,Korinthia,22.737141927186183,37.93854731659271,EL652
52,"Lakonia, Messinia",22.325355916558763,37.04438167434733,EL653
