nodeID,name,longitude,latitude,nodeCode
1,Keski-Suomi,25.42555773612487,62.53079914643922,FI193
2,Etelä-Pohjanmaa,23.04991219090317,62.71694936271558,FI194
3,Pohjanmaa,22.127428192387836,63.080510664354236,FI195
4,Satakunta,22.15439079017672,61.544978888685336,FI196
5,Pirkanmaa,23.704067519944672,61.68094798009893,FI197
6,Helsinki-Uusimaa,24.676588142740858,60.38198630714391,FI1B1
7,Varsinais-Suomi,22.410327214086124,60.523824258844854,FI1C1
8,Kanta-Häme,24.317232159946723,60.935282592992266,FI1C2
9,Päijät-Häme,25.734265432877578,61.22358481303408,FI1C3
10,Kymenlaakso,26.938311502903403,60.79310188294182,FI1C4
11,Etelä-Karjala,28.350679041638294,61.20497994583735,FI1C5
12,Etelä-Savo,27.7839834488969,61.88858269461015,FI1D1
13,Pohjois-Savo,27.45860994091759,63.16341574630036,FI1D2
14,Pohjois-Karjala,29.91502646006755,62.893421862483045,FI1D3
15,Keski-Pohjanmaa,24.084959611020818,63.60125806980455,FI1D5
16,Lappi,26.27686389668975,67.68363197500804,FI1D7
17,Kainuu,28.71358068008071,64.49183386638484,FI1D8
18,Pohjois-Pohjanmaa,26.566062055422076,64.94243813837926,FI1D9
19,Åland,20.303101493572186,60.25424718774162,FI200
