nodeID,name,longitude,latitude,nodeCode
1,Vidin,22.71834264668198,43.821678887947684,BG311
2,Montana,23.198532364734767,43.49093252568645,BG312
3,Vratsa,23.792352565882677,43.42736904572395,BG313
4,Pleven,24.627084064578867,43.465303638482744,BG314
5,Lovech,24.553576213275914,43.00926733730442,BG315
6,Veliko Tarnovo,25.62706680366064,43.19448640467585,BG321
7,Gabrovo,25.214228848390462,42.9412954477493,BG322
8,Ruse,26.011564601118856,43.65298622294856,BG323
9,Razgrad,26.585359210296453,43.62217399481361,BG324
10,Silistra,27.04470682130736,43.924716754020544,BG325
11,Varna,27.59427797017735,43.17809195048647,BG331
12,Dobrich,27.963974011011043,43.65174800801745,BG332
13,Shumen,26.985863152007777,43.29751181063259,BG333
14,Targovishte,26.34474660418577,43.21667959643393,BG334
15,Burgas,27.32050241579602,42.50750269923227,BG341
16,Sliven,26.261791858519135,42.668851962458355,BG342
17,Yambol,26.634980365865424,42.24995391577029,BG343
18,Stara Zagora,25.588164185078693,42.43410336232149,BG344
19,Sofia (stolitsa),23.329753361827553,42.67588973759229,BG411
20,Sofia,23.624031490772516,42.71720675913232,BG412
21,Blagoevgrad,23.43578225731946,41.73074339203996,BG413
22,Pernik,22.85261941854201,42.630759851972215,BG414
23,Kyustendil,22.8497700433987,42.27356234705743,BG415
24,Plovdiv,24.82678467859794,42.27329595229748,BG421
25,Haskovo,25.899940293100858,41.822939121881106,BG422
26,Pazardzhik,24.139104747708288,42.13197312558249,BG423
27,Smolyan,24.67164149344091,41.63480176959406,BG424
28,Kardzhali,25.411194389631085,41.515470357539726,BG425
